customerid,name,email,accountnumber,balance,transactiondate,transactionamount,transactiontype,balanceaftertransaction
9142,Jeremy Pratt,uhines@hotmail.com,MCUW97096615702851,88359.2,2025-04-07,4025.33,Debit,84333.87
7074,Juan Fuller,callen@gmail.com,WUXL47142563816832,64175.07,2025-02-13,550.8,Debit,63624.27
5543,Shannon Tran MD,andreaburns@yahoo.com,ESCS30939206506461,40636.93,2025-06-23,1656.27,Credit,42293.2
1930,Christy Bailey,tranphillip@yahoo.com,WYNH84400983320817,77405.16,2025-01-23,1486.07,Credit,78891.23000000001
8310,Jessica Brown,michaelwright@boyd.com,TZLF27144223837944,49907.92,2025-05-05,3322.04,Credit,53229.96
6042,James Saunders,rodriguezjoseph@yahoo.com,ZAWG86724461365396,34231.12,2025-03-10,3635.3,Debit,30595.820000000003
3307,Dr. Jordan Pierce,twood@yahoo.com,WCGP44198545868515,71843.87,2025-05-24,66.82,Credit,71910.69
5264,Jason Klein,bsmith@yahoo.com,MSGO33722956427282,69708.03,2025-02-07,3196.96,Credit,72904.99
4761,Marissa Lewis,jpruitt@hotmail.com,MEJN92024219177289,83696.56,2025-04-07,1308.25,Credit,85004.81
3015,Cindy Harrison,qsmith@johnson-huang.org,ZZOU40448316582735,82093.94,2025-02-18,4378.37,Credit,86472.31
4115,Lauren Richardson,ryan70@gmail.com,WEFT11549023848663,84829.8,2025-05-13,3582.79,Credit,88412.59
2175,Amanda Sanchez,sherri64@yahoo.com,ZARU11488500308553,47319.25,2025-07-03,-55.2,Debit,47374.45
3016,Sandra Smith,shannon24@gmail.com,UNTH86438615075747,21796.06,2025-01-22,1275.05,Credit,23071.11
1596,Jordan Robertson,olivia05@hotmail.com,XEMK59226146773138,74316.06,2025-07-13,3240.46,Credit,77556.52
2992,Danielle Compton,nelsonjohn@parker.com,VBST99892424282536,50443.58,2025-06-10,1482.67,Credit,51926.25
7044,Jennifer Warner,stephen85@hotmail.com,CTMM04142970278824,38185.17,2025-05-08,3762.86,Debit,34422.31
9721,Corey Le,wross@smith-lee.info,MCMO57125808797145,96400.37,2025-01-24,2497.55,Debit,93902.81999999999
2633,Christy Delacruz,patriciarodriguez@gmail.com,DNCT37534424588594,62858.11,2025-05-17,1009.35,Credit,63867.46
7499,Linda Lewis,calhouncatherine@hotmail.com,SNUG56050592473570,59533.36,2025-06-01,-625.26,Debit,60158.62
9195,Erin Garcia,kylefox@yahoo.com,SHKO70879669888286,63535.89,2025-03-14,3074.94,Debit,60460.95
1515,Kathy Henry,cbaker@clark-johnson.net,NWVO94964619326844,2438.23,2025-04-27,1780.35,Credit,4218.58
5242,Laurie Thompson,davisrobin@wood.com,AOPC21793121677722,44704.22,2025-03-23,1847.14,Credit,46551.36
3048,Louis Williams,darius46@gmail.com,PUBL67165145055076,9583.11,2025-06-19,3274.25,Credit,12857.36
6376,Alyssa Nguyen,pmoore@becker-casey.com,FRON38348337027481,71327.85,2025-02-10,99.16,Credit,71427.01000000001
8010,Anthony Romero,walter12@singh.com,RXDY68211794439905,27493.48,2025-04-16,1361.18,Credit,28854.66
2642,Debra Maddox,adrian33@warren.com,YBXW02610926672613,7042.48,2025-04-14,4465.5,Credit,11507.98
4542,Jeremy Adams,susan81@yahoo.com,FZWJ26117186920295,10552.94,2025-07-02,2003.74,Debit,8549.2
3810,Joel Barber,ctaylor@hotmail.com,CGTU98256377357609,60056.67,2025-05-26,3172.08,Debit,56884.59
5069,Aaron Hudson,emily56@welch.com,JHKA20358236770628,58104.24,2025-01-03,470.43,Debit,57633.81
2196,Rachel Diaz,mark38@jackson-contreras.com,RMYU92873761638309,3770.52,2025-03-11,3388.11,Debit,382.40999999999985
6244,Tonya Kelley,gvasquez@yahoo.com,RCNG88660220747608,28665.79,2025-04-27,-798.2,Credit,27867.59
9144,Michelle Mccullough,kevinwright@stout.net,UTNR59835806240085,16366.11,2025-04-22,3455.4,Debit,12910.710000000001
3920,Chase Young,shepherdpeter@lara.com,TPUJ09913735693521,80217.05,2025-02-22,-237.08,Debit,80454.13
6555,Brandy Stephens,joannasmith@hawkins.com,INWN22967066139723,22144.33,2025-05-06,3021.52,Credit,25165.850000000002
2356,Alison Bass,timothy62@larson.net,SCND36789252618354,49884.45,2025-06-02,1596.02,Debit,48288.43
8685,Tiffany Shah,lbrown@steele-duran.biz,IAJY25610769627614,70341.9,2025-07-04,3122.41,Debit,67219.48999999999
9241,James Hernandez,jaycruz@gmail.com,LKQB18987089880638,82415.35,2025-01-09,-173.31,Credit,82242.04000000001
9264,Megan Robinson,crystalwelch@hotmail.com,ZIPL55375642935411,73493.37,2025-06-19,3671.99,Debit,69821.37999999999
3718,Susan Baldwin,joshualloyd@gmail.com,XIRD92280072223506,14024.85,2025-06-22,667.99,Credit,14692.84
8759,Kimberly Forbes,allenjamie@hotmail.com,YAYE99990797181937,25135.7,2025-06-12,-489.02,Credit,24646.68
8863,Alicia Stevens,vespinoza@hotmail.com,YAXQ03475968148602,20057.85,2025-03-09,4370.93,Debit,15686.919999999998
9639,William Reyes,christinacobb@yahoo.com,KNFL01799467529835,14772.94,2025-06-13,3799.57,Credit,18572.510000000002
8591,Deborah Torres DDS,barbara32@yahoo.com,YTFM40812700643316,86634.46,2025-06-16,4420.72,Credit,91055.18000000001
2358,Tara Adams,vhernandez@hotmail.com,HWHF44831314680235,7622.24,2025-05-14,3524.85,Credit,11147.09
4272,Bruce Francis,pdavis@miller-knox.info,SWYY83332994998033,53078.63,2025-05-17,-433.22,Debit,53511.85
4082,David Wheeler,miguelcurtis@johnson-nelson.com,OMAF66198337754799,83824.93,2025-03-09,3629.34,Debit,80195.59
7474,Ashley Wilson,sjohnson@scott-garcia.biz,MGMJ43860501534873,3010.95,2025-01-09,3889.52,Debit,-878.5700000000002
8397,David Brown,hopkinswilliam@hawkins-berry.com,RCBV67657069977031,90399.75,2025-05-07,2594.29,Debit,87805.46
4938,Karen Elliott,chrishunt@gmail.com,PMLT05325379325780,64370.83,2025-05-16,2563.5,Credit,66934.33
9275,Danny Hess,rwatson@gmail.com,XUUQ74985563197016,81543.61,2025-03-02,1446.59,Debit,80097.02
7695,Veronica Boyd,rebecca50@yahoo.com,LWQZ00534162231246,47205.82,2025-05-10,2530.59,Credit,49736.41
2225,Samantha Morris,misty55@stafford-mccoy.com,NLBO06806100029332,9841.02,2025-02-03,4180.63,Credit,14021.650000000001
9365,Brent Brown,thomasmacdonald@thomas.com,NQJK98403818868407,70776.44,2025-06-30,1882.97,Debit,68893.47
6529,Albert Mcdaniel,billy62@price.info,VWFP51748912558317,1388.79,2025-03-07,2581.63,Credit,3970.42
9767,Rebecca Davis,anthony64@greene.com,ZWZN30841088826898,94112.97,2025-01-12,3503.84,Debit,90609.13
9123,Brandon Patton,drichardson@gmail.com,AGUL74256998533494,45538.12,2025-03-01,4738.01,Credit,50276.130000000005
3771,Kevin Page,zbell@garcia.com,UIFP07143390527720,52188.67,2025-03-16,1830.91,Debit,50357.759999999995
8700,Jeffery Davis,imunoz@jones-benjamin.net,UWMH13356417795054,64137.43,2025-04-22,2060.73,Debit,62076.7
6269,John Bell,russellernest@hotmail.com,FZCM52266748084157,90540.35,2025-02-22,1615.15,Credit,92155.5
3767,Christina Villarreal,randygriffith@reed.com,XWWK78530139773762,20782.6,2025-03-07,4658.48,Debit,16124.119999999999
7367,Marcus Strickland,theresa85@andrews-duncan.com,PBSF53414622345224,62939.06,2025-04-14,209.35,Debit,62729.71
7815,Tanner West,jeremycameron@proctor.com,BMCT33894863885627,44717.57,2025-02-18,1257.05,Debit,43460.52
2790,Beth Harris,cassandrale@ramirez.com,POEU40650510291489,8759.38,2025-06-19,-607.45,Credit,8151.929999999999
7364,John Bartlett,patricia30@gmail.com,OCVW61135399207539,82546.73,2025-01-20,4555.19,Debit,77991.54
4014,Ryan Stafford PhD,salinasbarry@gmail.com,YEPZ52623440442597,74149.95,2025-02-20,3480.84,Debit,70669.11
1597,Derrick Rogers,stephenskatherine@yahoo.com,URXT23713794701446,30767.37,2025-05-06,4687.51,Credit,35454.88
6831,Scott Bailey,sgibson@frazier-dean.com,QSQX80908601938240,89966.14,2025-03-25,4212.01,Debit,85754.13
2420,Mark Johnson,jharrison@gmail.com,NYQI44969655025372,25133.57,2025-07-11,1415.65,Credit,26549.22
1412,Clinton Cross,vmacdonald@yahoo.com,STQC20973679864114,10544.73,2025-04-22,2449.6,Credit,12994.33
5737,Gina Gardner,masonjonathan@gmail.com,CPUJ44796783458574,74070.81,2025-04-10,1980.48,Credit,76051.29
5169,Kathryn Kim,christopherallen@gmail.com,DIMT79178511450125,39441.86,2025-05-27,4913.56,Debit,34528.3
1146,Deborah Rice,ayalalarry@hodge-fisher.com,LHCX89833809727290,25792.49,2025-02-15,-415.71,Debit,26208.2
3043,Nathaniel Bailey,shannon87@bush.org,VHTG18696362621553,92696.97,2025-02-20,166.95,Debit,92530.02
2229,Ryan Powell,anthony28@gmail.com,BOKJ00400248037487,94545.13,2025-05-14,2392.96,Credit,96938.09000000001
6581,Tonya Aguilar,shawjennifer@white-maynard.com,HWPQ28588990367208,16259.67,2025-01-31,3276.47,Credit,19536.14
8231,Brian Walker,wgonzalez@gmail.com,GNHK34425433753047,43571.74,2025-05-02,615.15,Debit,42956.59
9558,Alyssa Tran,villanicole@carter.com,NGTH72745135713146,72131.47,2025-06-07,3134.6,Debit,68996.87
2248,Elizabeth May,dale15@hotmail.com,MFUP33581749050071,45250.13,2025-01-03,320.61,Credit,45570.74
6511,Billy Coleman,lindsaybates@martinez.com,JQGG57712900662780,25386.96,2025-07-12,3941.61,Debit,21445.35
1274,Jennifer Fowler,jacqueline72@gmail.com,AJDU35752959298294,42947.07,2025-06-21,3724.77,Credit,46671.84
5161,Samantha Fitzpatrick,williamscrystal@marquez.com,ZGLH82342141300064,82546.77,2025-05-31,989.74,Debit,81557.03
4039,Eric Walker,erin70@yahoo.com,UOQU57788868695429,67840.76,2025-05-06,1590.66,Debit,66250.09999999999
